area,name,block,direction,streetName,streetType,side,postedRestrictions,exclusions
2,Morgan,1700,,Ingram,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1800,,Ingram,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,4805,,Loch Raven,Blvd.,Only,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,2000,,Northbourne,Rd.,Both,,
,,,,,,,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1600,,Northgate ,Rd.,Both,,
,,,,,,,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1600,,Pentwood ,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1500,,Pentwood ,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,5300,,Perring,Pkwy.,Even,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1600,,Stonewood ,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1700,,Winford,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1800,,Winford,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,1900,,Winford,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
2,Morgan,2000,,Winford,Rd.,Both,"""Two Hour Parking, 7:00 a.m. - 7:00 p.m., Monday through Friday, except with Area #2 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,200,,Bolton ,Pl.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1200,,Bolton ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1300,,Bolton ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1400,,Bolton ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1500,,Bolton ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1600,,Bolton ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1700,,Bolton ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1800,,Bolton ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,200,,Dolphin ,Ln.,Even,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1400,,Jenkins,Way,Even,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1200,,John ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1300,,John ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1400,,John ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1400,,Jordon ,St.,Odd,,
,,,,,,,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,100,W,Lafayette ,Ave.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,200,W,Lafayette ,Ave.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,300,W,Lafayette ,Ave.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,100,W,Lanvale ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,200,W,Lanvale ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,300,W,Lanvale ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,200,,Laurens,St.,Even,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1700,,Linden ,Ave.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1400,,Mason ,St.,Even,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,100,,Mosher ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,200,,Mosher ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1400,W,Mt. Royal ,Ave.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1500,W,Mt. Royal ,Ave.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1200,,Park ,Ave.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1300,,Park ,Ave.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1400,,Park ,Ave.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1500,,Park ,Ave.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1600,,Park ,Ave.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1700,,Park ,Ave.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,200,,Robert ,St.,Odd,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,1300,,Rutter ,St.,Odd,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,100,,Wilson ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
3,Bolton Hill,200,,Wilson ,St.,Both,"""Two Hour Parking, 7:00 a.m. - 12 Midnight, Monday through Friday, except with Area #3 Permit.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3200,,Avondale ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3300,,Avondale ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3400,,Avondale ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5600,,Bland ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5700,,Bland ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5400,,Clover ,Rd.,Even,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5300,,Ethelbert ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5600,,Everhurst,Rd.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5300,,Hamlin ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5400,,Hamlin ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5500,,Hamlin ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5600,,Hamlin ,Ave.,Odd,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3200,,Hayward ,St.,Even,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3300,,Hayward ,St.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5703,,Highgate,Dr.,Odd,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5500,,Highgate ,Dr.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5600,,Highgate ,Dr.,Odd,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5701,,Highgate ,Dr.,Odd,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3200,,Ingleside ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3300,,Ingleside ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3400,,Ingleside ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3500,,Ingleside ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5500,,Key ,Ave.,Odd,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5600,,Key ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5700,,Key ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5800,,Key ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3000,,Manhattan ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5300,,Maple ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3000,W,Northern ,Pkwy.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3100,W,Northern ,Pkwy.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3200,W,Northern ,Pkwy.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3300,W,Northern ,Pkwy.,Odd,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3400,W,Northern ,Pkwy.,Odd,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3500,W,Northern ,Pkwy.,Odd,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5400,,Park Heights ,Ave.,Odd,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,2700,W,Rogers ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3200,W,Rogers ,Ave.,Even,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3300,W,Rogers ,Ave.,Even,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,3400,W,Rogers ,Ave.,Even,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5700,,Simmonds ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5400,,Stuart ,Ave.,Even,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5300,,Winner ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5400,,Winner ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5500,,Winner ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
4,Pilmico,5600,,Winner ,Ave.,Both,"""No Parking 12:00 p.m. - 5:00 p.m. except with area permit #4 during Race Days.""",Some addresses may be excluded.  Please call 443-573-2800 to verify a particular address.
